amfi_code,scheme_name,fund_house,category,return_3yr_pct,sharpe_ratio,risk_grade,VaR_95,CVaR_95,HHI
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.36,0.88,Moderate,-0.012846228628842571,-0.01639680693408763,0.11871551999999999
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,11.3,0.81,Moderate,-0.013500970479935082,-0.017335699664199813,0.10801068999999998
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,0.94,Very High,-0.0245070519056771,-0.03059526410880242,0.10734895
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,0.93,Very High,-0.02685943514961382,-0.03238412245049217,0.17475095999999998
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,6.07,1.52,Low,-0.003938283121850805,-0.005013693153022244,
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,14.84,1.06,Moderate,-0.014363639988111142,-0.01806020763217176,0.13953386
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,0.96,Moderate,-0.014591769071140459,-0.018309885328057912,0.13658554
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,0.87,High,-0.019033535861558825,-0.023455762770703794,0.14759225999999998
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,15.29,0.8,High,-0.018365320169601018,-0.02309379305316794,0.15241398
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,7.37,1.84,Low,-0.003793246199522682,-0.004993763020560281,
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,11.54,0.82,Moderate,-0.01355001716250348,-0.01745055416552432,0.14087026
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,1.03,Moderate,-0.013728193295939772,-0.017494143685606606,0.10867415000000001
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,0.95,High,-0.01889178619869274,-0.02434207039551981,0.15757036000000002
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,14.76,0.98,Moderately High,-0.014388462899080912,-0.01940489860249691,0.1537936
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.68,7.68,Low,-0.00022157351389344714,-0.00037258039979649643,
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,1.0,Moderate,-0.013954045870018117,-0.017618579320162156,0.1682982
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,0.88,Moderate,-0.013442525143024242,-0.016630178254004827,0.12146086
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,20.15,0.81,Very High,-0.025438111458963106,-0.032304072697818535,0.10835772
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,0.91,Moderate,-0.012553697284754662,-0.01617696049480912,0.13594415
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,5.31,1.33,Low,-0.003804146068944347,-0.004918918420478294,
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,12.25,0.87,Moderate,-0.013141782186804063,-0.01636273661834337,0.14968035000000002
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,0.96,High,-0.01821853045255608,-0.02272497526268088,0.12743880999999999
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,0.98,Moderately High,-0.014507941385630474,-0.018381077688017156,0.12868306000000002
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.18,6.18,Low,-0.00028479272823556107,-0.00041099591933232505,
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,11.84,0.85,Moderate,-0.013749592076363814,-0.017327870956436054,0.20644766999999994
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,0.87,Moderate,-0.014225516634796053,-0.01748670974901306,0.13089424
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,0.8,High,-0.018480276243938307,-0.02426005947837057,0.13640591000000002
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,20.98,0.84,Very High,-0.02618842440959035,-0.03166729360598028,0.10960535000000002
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,0.98,Moderate,-0.013281661986281489,-0.017439425687129195,0.12933173
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,0.9,Very High,-0.026021248221061066,-0.03245905898704435,0.20070043
